sample,ref_max_2pct,ref_max_1pct,ref_p99.9_2pct,ref_p99.9_1pct,base_max_2pct,base_max_1pct,base_p99.9_2pct,base_p99.9_1pct
42,100.0,99.775,99.6625,98.7627,67.829,33.1834,94.2632,80.5399
43,100.0,99.906,99.718,98.8722,89.0038,68.703,92.8571,78.2895
44,100.0,100.0,99.7994,99.5988,98.1946,88.3651,97.1916,86.7603
45,99.904,99.6161,99.8081,99.4242,98.7524,86.0845,93.9539,84.453
46,100.0,99.6982,99.5976,98.5915,99.2958,90.3421,96.4789,84.8089
47,99.7669,97.9798,99.8446,99.223,83.7607,55.4002,94.4833,80.7304
48,99.846,94.9962,100.0,99.846,63.9723,22.7868,96.5358,86.6821
49,100.0,99.9038,99.7113,99.4225,93.744,82.5794,96.1501,86.718
50,100.0,99.6265,99.6265,98.7862,94.3978,81.3259,96.3585,84.9673
51,99.4036,98.4095,99.8012,99.3042,89.662,67.6938,92.8429,76.4414
52,98.5366,97.4634,99.7073,97.9512,87.6098,63.6098,95.122,84.1951
53,99.8111,97.9226,99.6695,96.7894,95.4674,84.0888,96.034,84.5137
54,99.8495,95.5606,100.0,99.699,84.1986,52.0692,95.8616,84.1234
55,100.0,98.9247,99.8346,98.3457,88.9992,61.2076,93.4657,73.9454
56,99.7332,98.9326,99.4663,98.6658,88.6591,63.8426,97.1981,85.6571
57,99.639,98.0505,99.7112,98.3394,81.5162,49.6751,96.2455,83.7545
58,99.0983,98.2867,99.0081,97.8359,90.9829,67.899,97.0243,83.7692
59,99.8319,98.4874,99.8319,99.0756,79.4118,43.8655,96.0504,81.2605
60,100.0,100.0,99.7625,98.2581,87.5693,60.966,95.1702,79.3349
61,99.8759,91.6873,100.0,98.3871,83.871,52.9777,96.5881,83.871
62,98.8722,94.7995,97.995,92.6065,95.614,79.5739,92.6692,75.6266
63,99.8541,99.7812,99.7082,99.1977,73.3771,36.178,97.4471,87.3085
64,99.818,99.727,99.818,99.727,74.9773,40.4914,96.0874,86.0783
65,100.0,95.5556,100.0,99.7778,72.8889,33.5556,98.2222,88.6667
66,99.545,94.5405,100.0,99.0901,93.8126,76.2511,96.3603,84.7134
67,99.7809,98.466,100.0,99.7078,79.6202,44.9233,97.6625,87.6552
68,99.2958,96.4789,99.5305,99.1784,90.0235,68.662,97.4178,87.5587
69,99.8047,99.6094,99.8047,99.6094,94.2383,82.6172,94.3359,83.0078
70,100.0,99.8246,99.9123,99.8246,74.1228,32.2807,98.2456,88.9474
71,100.0,99.7517,99.9172,99.255,77.5662,49.3377,94.8675,83.7748
72,99.8496,94.1353,100.0,99.6992,76.0902,35.2632,97.0677,86.0902
73,100.0,99.1445,100.0,99.6198,31.4639,7.1293,93.251,73.8593
